State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Urban_Households,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Having_latrine_facility_within_the_premises_Total_Households,sex_ration,Literacy_rate
Nagaland,Mon,26.69207374,95.03072989,261,250260,131753,118507,119626,67432,1080,14398,178,2844,7415,127058,130529,257587,168773,53600,2148,1007,1571,233,27663,899.0,47.8
Nagaland,Phek,25.63272987,94.56814564,266,163418,83743,79675,105893,57926,2073,36182,170,1558,7295,112110,44456,156566,108514,37842,549,1780,838,406,29489,951.0,64.8
Nagaland,Tuensang,26.21104453,94.85809881,267,196596,101933,94663,117511,63653,773,24998,155,2251,9451,127913,66450,194363,134573,43210,355,1063,738,208,22080,929.0,59.77
Nagaland,Wokha,26.20261155,94.19908152,264,166343,84505,81838,128208,67385,3228,25268,198,1757,8170,131916,25048,156964,106951,40510,2907,1592,1713,429,22108,968.0,77.07
Nagaland,Zunheboto,26.02817821,94.50026667,263,140757,71217,69540,102881,53504,1433,28846,261,2008,6044,115295,25988,141283,91709,32267,713,2258,1033,424,22868,976.0,73.09
Orissa,Baleshwar,21.48570932,87.08085828,377,2320529,1185787,1134742,1621232,902359,36478,296834,7370,28289,82440,1742405,628627,2371032,1303828,622575,365510,8591,75401,7571,145565,957.0,69.86
Orissa,Bhadrak,20.95262735,86.81496205,378,1506337,760260,746077,1094140,596269,15864,164636,2637,15609,54244,1232900,323145,1556045,848660,393629,184434,3670,34791,3134,62233,981.0,72.64
Orissa,Cuttack,20.40764065,85.77768102,381,2624470,1352760,1271710,2011469,1103033,103177,349587,15046,40589,210768,2062622,472182,2534804,1372301,743090,391982,15494,132934,23064,205665,940.0,76.64
Orissa,Dhenkanal,20.79887159,85.53226836,383,1192811,612593,580218,829910,464093,19846,117172,1810,10600,36979,859997,341887,1201884,641697,326233,159449,3533,36224,3383,51080,947.0,69.58
Orissa,Gajapati,19.12108088,84.14015092,389,577817,282882,294935,262537,153663,12035,63112,635,5523,23050,268110,335821,603931,345387,144043,28704,656,8521,871,23322,1043.0,45.44
Orissa,Ganjam,19.26326176,84.8029771,388,3529031,1779218,1749813,2210050,1262652,120191,405298,9049,41059,219918,2340777,1055331,3396108,1980232,924756,369914,9066,100866,15361,215821,983.0,62.62
Orissa,Jharsuguda,21.82705857,83.93581682,371,579505,296690,282815,405879,228092,18950,81433,2498,7555,73962,408064,143508,551572,320156,159477,102328,3966,32916,4526,35184,953.0,70.04
Orissa,Kalahandi,19.78425309,83.11240438,395,1576869,787101,789768,802036,484177,17610,91171,1953,12622,38412,780451,765368,1545819,880160,415778,226852,3547,34156,2825,47442,1003.0,50.86
Orissa,Kandhamal,20.09287862,84.02216353,390,733110,359945,373165,399786,233900,6938,28736,768,6609,24489,450614,287948,738562,436625,177471,66979,1278,11947,1182,19176,1037.0,54.53
Orissa,Kendrapara,20.60631982,86.83763248,379,1440361,717814,722547,1089265,579970,15879,173107,1628,11836,23494,1242976,294723,1537699,771284,374559,189402,2686,37980,2095,58387,1007.0,75.62
Orissa,Khordha,20.05416232,85.52234834,386,2251673,1167137,1084536,1749936,957515,160277,349860,35701,75588,356895,1945913,371244,2317157,1199521,653346,325139,33514,165342,56193,230413,929.0,77.72
Orissa,Koraput,18.82627795,82.8127847,398,1379647,678809,700838,568090,340843,39631,85766,3988,17294,78339,547812,770707,1318519,818578,348803,112569,6922,37192,6604,58682,1032.0,41.18
Orissa,Malkangiri,18.2522793,81.98293636,399,613192,303624,309568,244706,147001,4738,24604,448,3908,15839,204863,390356,595219,381913,146355,62048,820,10535,578,12839,1020.0,39.91
